name;ort;x;y
60464356;matsimNetworkNode;728843.14;5693846.8
60464355;matsimNetworkNode;728842.05;5693894.21
60464354;matsimNetworkNode;729044.26;5693905.9399999995
60592571;matsimNetworkNode;732230.3400000001;5690930.71
60021955;matsimNetworkNode;733115.8;5690115.199999999
122032003;matsimNetworkNode;734353.6100000001;5695329.47
60021956;matsimNetworkNode;733100.3500000001;5689888.4399999995
298280909;matsimNetworkNode;730212.76;5696859.34
60592569;matsimNetworkNode;731584.8600000001;5691307.43
60592568;matsimNetworkNode;731603.14;5691438.38
270694741;matsimNetworkNode;735489.67;5698209.4799999995
294925952;matsimNetworkNode;731853.16;5697293.71
1496537508;matsimNetworkNode;736406.21;5696385.79
286740718;matsimNetworkNode;743448.27;5691368.2299999995
313582800;matsimNetworkNode;741803.0900000001;5702450.399999999
294925958;matsimNetworkNode;731846.3500000001;5697524.109999999
26652354;matsimNetworkNode;738185.94;5690287.35
2622205462;matsimNetworkNode;727660.78;5693703.279999999
269678125;matsimNetworkNode;727306.31;5689176.149999999
1067912966;matsimNetworkNode;728815.88;5682780.34
197751922;matsimNetworkNode;735292.43;5692387.71
439214554;matsimNetworkNode;733093.3200000001;5694134.149999999
3780936465;matsimNetworkNode;735011.91;5691759.5
cluster_25933065_30308499;matsimNetworkNode;735154.65;5693384.449999999
192313574;matsimNetworkNode;738040.5900000001;5693727.54
cluster_255189000_278555621;matsimNetworkNode;737866.48;5690841.59
5351890418;matsimNetworkNode;733695.65;5695696.71
2201559034;matsimNetworkNode;735172.0800000001;5693519.08
5169659079;matsimNetworkNode;740858.52;5687243.75
8735460020;matsimNetworkNode;736372.42;5699000.29
417266407;matsimNetworkNode;735071.65;5690001.779999999
417266406;matsimNetworkNode;734980.22;5689999.1899999995
9492785415;matsimNetworkNode;744271.28;5690895.22
165253107;matsimNetworkNode;738553.78;5699916.81
340116538;matsimNetworkNode;733655.42;5692100.54
30580975;matsimNetworkNode;737544.8500000001;5690848.56
298862756;matsimNetworkNode;735735.5800000001;5695391.49
30580978;matsimNetworkNode;737584.56;5690742.66
144226078;matsimNetworkNode;737746.6100000001;5693031.279999999
31950241;matsimNetworkNode;736960.02;5697647.17
942862956;matsimNetworkNode;729681.51;5696949.37
952074481;matsimNetworkNode;737910.89;5690945.18
2963360296;matsimNetworkNode;732732.06;5699877.33
215172909;matsimNetworkNode;734646.5800000001;5694575.08
291585171;matsimNetworkNode;739817.15;5688276.43
439214574;matsimNetworkNode;732882.21;5694170.029999999
1116870731;matsimNetworkNode;738893.95;5694997.14
cluster_315366112_315366883;matsimNetworkNode;727078.3;5691054.46
18346332;matsimNetworkNode;731071.13;5691857.38
3149696137;matsimNetworkNode;727987.21;5689430.859999999
296456267;matsimNetworkNode;738829.8300000001;5690438.97
270694728;matsimNetworkNode;735596.8400000001;5698239.77
3239710367;matsimNetworkNode;737814.13;5693735.39
30580964;matsimNetworkNode;737491.87;5690877.08
1247297520;matsimNetworkNode;732496.78;5694048.05
30580966;matsimNetworkNode;737858.73;5690944.76
312171319;matsimNetworkNode;737569.55;5700764.16
cluster_264624627_30710240;matsimNetworkNode;735750.47;5693380.27
384751085;matsimNetworkNode;745086.55;5694056.27
312171315;matsimNetworkNode;737542.93;5700835.68
27545617;matsimNetworkNode;737809.91;5697848.819999999
26652367;matsimNetworkNode;738410.5700000001;5690075.99
313582802;matsimNetworkNode;741718.8300000001;5702401.09
277238187;matsimNetworkNode;729217.62;5690794.31
370807212;matsimNetworkNode;742744.03;5692523.75
27545613;matsimNetworkNode;737716.13;5697825.529999999
280784507;matsimNetworkNode;734952.64;5692251.01
1487934554;matsimNetworkNode;735059.52;5699245.49
cluster_12277051_2536311207;matsimNetworkNode;736839.68;5695882.109999999
1629764611;matsimNetworkNode;728021.76;5688622.41
3368192319;matsimNetworkNode;741888.55;5694132.89
298726074;matsimNetworkNode;727752.31;5697603.6899999995
cluster_2688626866_2688626867_303754516;matsimNetworkNode;729552.26;5700689.96
288139639;matsimNetworkNode;743132.16;5693650.54
6020854175;matsimNetworkNode;735635.27;5696635.35
251565227;matsimNetworkNode;727877.68;5688415.949999999
3161364769;matsimNetworkNode;730535.87;5685133.88
288139640;matsimNetworkNode;743337.64;5693664.38
cluster_1197261911_31036074;matsimNetworkNode;736587.28;5699756.109999999
3663294897;matsimNetworkNode;742815.94;5693231.99
1629764604;matsimNetworkNode;728067.9;5688506.2299999995
197761372;matsimNetworkNode;735853.01;5692785.5
146075981;matsimNetworkNode;735120.6000000001;5694981.71
1487934559;matsimNetworkNode;735115.89;5699272.5
294161211;matsimNetworkNode;731502.78;5687946.43
294161213;matsimNetworkNode;731684.8;5687915.35
cluster_1834068508_2938209047;matsimNetworkNode;739175.8500000001;5689377.67
5368192480;matsimNetworkNode;726409.8600000001;5690258.899999999
7010811233;matsimNetworkNode;740468.13;5698919.63
288138321;matsimNetworkNode;742159.96;5693059.399999999
211186479;matsimNetworkNode;733682.42;5695055.97
1454016371;matsimNetworkNode;729126.0700000001;5700863.1899999995
26652331;matsimNetworkNode;738241.3300000001;5690237.09
4409679796;matsimNetworkNode;731330.05;5697247.7299999995
97612026;matsimNetworkNode;734010.3400000001;5695653.4799999995
6057589005;matsimNetworkNode;734912.6100000001;5690662.949999999
3210024176;matsimNetworkNode;732149.53;5692686.34
1116870770;matsimNetworkNode;738809.15;5694992.27
26652337;matsimNetworkNode;738307.38;5690309.4799999995
1639290456;matsimNetworkNode;742344.74;5688287.4399999995
6513215910;matsimNetworkNode;729061.0;5697345.71
1211266194;matsimNetworkNode;735656.44;5696272.6
412509660;matsimNetworkNode;734652.16;5693207.39
96625596;matsimNetworkNode;731778.62;5690184.569999999
96625599;matsimNetworkNode;731740.21;5690253.18
cluster_132189490_90209715;matsimNetworkNode;734448.51;5695077.949999999
269756064;matsimNetworkNode;734275.0;5696221.29
269756063;matsimNetworkNode;733856.5800000001;5696270.09
1161933348;matsimNetworkNode;734051.39;5695301.0
9251513714;matsimNetworkNode;734952.19;5696041.89
97612031;matsimNetworkNode;734549.8600000001;5695707.08
97612030;matsimNetworkNode;734535.78;5695590.29
97612032;matsimNetworkNode;734312.93;5695798.819999999
2389967172;matsimNetworkNode;738433.81;5687953.59
60021948;matsimNetworkNode;733013.76;5690391.949999999
7808279666;matsimNetworkNode;737059.56;5697114.68
60021949;matsimNetworkNode;733055.8400000001;5690396.56
7808279665;matsimNetworkNode;736929.71;5697128.41
60021942;matsimNetworkNode;732924.4;5690136.04
60021943;matsimNetworkNode;732931.64;5690059.319999999
60021941;matsimNetworkNode;732827.01;5690226.58
199752873;matsimNetworkNode;736210.9;5688799.7299999995
250536726;matsimNetworkNode;736813.68;5688801.6
60021945;matsimNetworkNode;733014.26;5690074.41
250536725;matsimNetworkNode;737074.49;5688865.34
194430810;matsimNetworkNode;735605.3;5700419.27
199752871;matsimNetworkNode;736480.8300000001;5688791.4399999995
60671850;matsimNetworkNode;727384.71;5690244.66
194421097;matsimNetworkNode;736278.67;5687426.74
6854473993;matsimNetworkNode;737268.5;5692929.71
282014415;matsimNetworkNode;727452.87;5698404.13
1533283403;matsimNetworkNode;737574.81;5700379.55
5931159730;matsimNetworkNode;738255.24;5692421.4399999995
60021938;matsimNetworkNode;732812.24;5690345.609999999
5051871738;matsimNetworkNode;735613.04;5692439.649999999
26117671;matsimNetworkNode;737739.51;5693818.99
60671837;matsimNetworkNode;727283.24;5690626.64
26117670;matsimNetworkNode;734529.43;5693626.34
2566071669;matsimNetworkNode;735658.5900000001;5695449.39
243825568;matsimNetworkNode;734565.7;5691759.58
60021935;matsimNetworkNode;732848.97;5690556.27
304248191;matsimNetworkNode;738381.29;5692361.79
60021936;matsimNetworkNode;732897.6000000001;5690443.39
243825569;matsimNetworkNode;734454.15;5691725.16
cluster_3041886152_30710191;matsimNetworkNode;735007.43;5694698.79
26117667;matsimNetworkNode;734633.52;5693787.8
1097233439;matsimNetworkNode;743127.96;5695083.92
26117666;matsimNetworkNode;734915.38;5693693.85
147971896;matsimNetworkNode;740180.55;5693908.08
6854473988;matsimNetworkNode;736767.87;5693039.64
217611856;matsimNetworkNode;739088.89;5693156.16
60671828;matsimNetworkNode;727418.65;5690141.68
26117662;matsimNetworkNode;735024.89;5693527.359999999
26117661;matsimNetworkNode;737186.68;5693839.59
26117657;matsimNetworkNode;736368.47;5693789.91
cluster_144453607_1478363104_255601894;matsimNetworkNode;737533.69;5691928.76
26117658;matsimNetworkNode;736488.74;5693875.47
27543025;matsimNetworkNode;729977.1000000001;5693098.9799999995
1883035870;matsimNetworkNode;741229.9;5696566.569999999
122044022;matsimNetworkNode;734044.45;5694755.899999999
313053995;matsimNetworkNode;734240.72;5697978.58
122044024;matsimNetworkNode;734242.8500000001;5694657.5
313053997;matsimNetworkNode;734083.77;5698166.1
341825264;matsimNetworkNode;729953.24;5689675.359999999
