Stop ID,Link ID,X,Y
262681199,-24262168,731161.93,5698591.17
512074520,28426313,736338.26,5698357.8
cluster_105897406_2719969829,-197653744,736584.5700000001,5691292.43
1390346806,31353403#0,734907.51,5698796.49
279144221,-25610791#1,731230.53,5686535.569999999
315359683,28690730#1,726424.0800000001,5691131.7299999995
130064619,166272988,738859.89,5694015.76
2574219859,36813865,740724.0800000001,5696797.6899999995
385297659,220390863,734328.4,5699325.52
279145558,-25610928#0,730450.49,5685667.59
cluster_59849885_59849892,8023206#1,729127.24,5695199.87
423896520,-204708168#0,732750.0900000001,5692042.33
2450542093,34126995#0,730164.0700000001,5684868.819999999
6542135034,696645868,734334.56,5693324.109999999
317605441,10363455#0,734303.51,5696446.51
2450542095,34127025#0,730248.91,5684980.6899999995
3248501877,318445888,738431.0800000001,5699812.199999999
3248501876,4246123,738432.63,5699790.59
30580991,6013691,737691.63,5690680.89
67446918,9112419,738315.49,5691185.14
30580997,-376768560,737488.45,5690735.89
69426256,177914610,741383.67,5689592.42
60592581,8087980#2,731880.5800000001,5690846.42
60592580,-75691559,731873.6100000001,5690708.899999999
144462201,87101100,736533.98,5693011.63
262484582,37935485,735179.95,5688946.819999999
18346311,77034033#1,731546.16,5692159.529999999
391956799,-288962697,730945.16,5684832.6899999995
60592576,8087980#1,731807.73,5690852.02
60592577,37630918,731798.67,5690706.43
cluster_310463715_929254036_929254068_93790955,-10639187#1,727741.1000000001,5697452.1899999995
2359931584,227282486,733708.87,5697813.54
298280911,10638885#1,730310.3500000001,5696992.399999999
370807208,-32927562#0,742630.46,5692664.31
69426265,-174133369,740152.5900000001,5690191.279999999
1964831915,37853982#1,736308.18,5690349.58
cluster_16572774_30216450,120359854#0,735107.29,5694911.529999999
cluster_2677838845_2677839386,376817778,740794.1100000001,5686766.27
1635384730,-7985956,733123.52,5690524.12
88152499,36728867#1,727897.65,5689128.59
262382576,-24232909,731080.31,5698439.569999999
3228850885,-4903848,735614.47,5691306.14
cluster_21633362_3241061837,438301513#1,742267.3500000001,5694564.609999999
192313540,18641137#1,738111.1100000001,5693867.47
1864342889,25610897#1,730556.93,5685671.5
189054708,13777146#1,731111.65,5685751.46
60021965,100307820,733038.22,5690238.56
cluster_12352371_59973333,-8021732#0,731382.87,5696693.4799999995
cluster_30581000_30581003,-81707204,737434.31,5690736.09
31937222,-157006389,735017.5900000001,5689452.609999999
391967478,322690327#0,727969.75,5684257.67
192313542,18641137#2,738036.6000000001,5693880.34
1864342886,25610891#3,730575.04,5685669.91
391967482,322690327#2,727956.3400000001,5684278.91
1964831929,37853982#0,736284.7,5690381.49
cluster_105923520_17086105_276448524,-132333494,735761.63,5692876.13
